   edge.id;     weight;     src.id;     des.id
         0;          1;          0;          1
         1;          1;          1;          0
         2;          1;          1;          2
         3;          1;          2;          1
         4;          1;          2;          3
         5;          1;          3;          2
         6;          1;          3;          4
         7;          1;          4;          5
         8;          1;          1;         10
         9;          1;         10;          1
        10;          1;         10;          4
        11;          1;          4;         10
        12;          1;          4;          5
        13;          1;          5;          4
        14;          1;          5;          6
        15;          1;          6;          7
        16;          1;          7;          8
        17;          1;          8;          7
        18;          1;          8;          0
        19;          1;          0;          8
        20;          1;          6;          9
        21;          1;          9;          6
        22;          1;          9;         10
        23;          1;         10;          9
        24;          1;         10;         11
        25;          1;         11;         10
        26;          1;         11;          2
        27;          1;          2;         11
